chrID	start	end	gene name	strand
chr1	214725024	214727024	PTPN14	-
chr4	4291896	4293896	LYAR	-
chr15	69707368	69709368	LOC145694	-
chrX	146318545	146320545	MIR508	-
chr2	74648757	74650757	C2orf81	-
chr2	209054773	209056773	C2orf80	-
chr1	53923071	53925071	DMRTB1	+
chr2	233738489	233740489	C2orf82	+
chr10	33190400	33192400	SNORA86	-
chr10	114803113	114805113	SNORA87	+
chr9	95054875	95056875	SNORA84	-
chr2	191043588	191045588	C2orf88	+
chr11	32165458	32167458	SNORA88	-
chr14	34176142	34178142	SNORA89	+
chr9	35754274	35756274	MSMP	-
chr5	138725605	138727605	MZB1	-
chr14	39639634	39641634	TRAPPC6B	-
chr6	32634466	32636466	HLA-DQB1	-
chr10	51547552	51549552	MSMB	+
chr6	4177233	4179233	HLA-DQB2	-
chr21	47256333	47258333	LOC100129027	-
chr12	90100731	90102731	ATP2B1-AS1	+
chr5	176055682	176057682	EIF4E1B	+
chr20	30433420	30435420	FOXS1	-
chr19	19373596	19375596	HAPLN4	-
chr11	104788902	104790902	LOC643733	-
chr12	121736111	121738111	CAMKK2	-
chr17	3796337	3798337	CAMKK1	-
chr19	4670415	4672415	MYDGF	-
chr2	86790620	86792620	CHMP3	-
chr14	50087403	50089403	RPL36AL	-
chr8	23099149	23101149	CHMP7	+
chr17	78963640	78965640	CHMP6	+
chr9	33262876	33264876	CHMP5	+
chr5	151151069	151153069	LOC100652758	-
chr11	5799897	5801897	OR52N5	-
chr11	5839565	5841565	OR52N2	+
chr11	5810046	5812046	OR52N1	-
chr6	3199128	3201128	LY6G6C	-
chr6	31681132	31683132	LY6G6D	+
chr6	31681842	31683842	LY6G6E	-
chr6	2958255	2960255	LY6G6F	+
chr7	27213955	27215955	HOXA10	-
chr7	151651463	151653463	GALNTL5	+
chr4	172732574	172734574	GALNTL6	+
chr3	146637709	146639709	LINC02010	+
chr3	14852921	14854921	LINC02011	-
chr3	197236532	197238532	LINC02012	-
chr3	177532652	177534652	LINC02015	+
chr3	127109513	127111513	LINC02016	-
chr8	11195145	11197145	TDH	+
chr21	32253874	32255874	KRTAP11-1	-
chr12	104357592	104359592	TDG	+
chr5	77656365	77658365	SCAMP1-AS1	-
chr20	25174305	25176305	ENTPD6	+
chr17	59475256	59477256	TBX2	+
chr10	134143613	134145613	LRRC27	+
chr9	140064491	140066491	LRRC26	-
chr3	108308491	108310491	KIAA1524	-
chr8	145752416	145754416	LRRC24	-
chr1	33229234	33231234	KIAA1522	+
chr17	7484964	7486964	MPDU1	+
chr10	72142406	72144406	LRRC20	-
chr16	67260721	67262721	LRRC29	-
chr7	39368733	39370733	SNORA20B	-
chr5	74326724	74328724	GCNT4	-
chr20	55100981	55102981	GCNT7	-
chr9	79072067	79074067	GCNT1	+
chr15	59901981	59903981	GCNT3	+
chr6	10519567	10521567	GCNT2	+
chr15	34659395	34661395	LPCAT4	-
chr16	55540912	55542912	LPCAT2	+
chr12	7125842	7127842	LPCAT3	-
chr5	1524092	1526092	LPCAT1	-
chr11	117068039	117070039	TAGLN	+
chr18	31020045	31022045	CCDC178	-
chr11	22881972	22883972	CCDC179	-
chr2	233241243	233243243	ALPP	+
chrX	146280645	146282645	MIR513B	-
chrX	146271305	146273305	MIR513C	-
chr6	151813174	151815174	CCDC170	+
chr9	15551004	15553004	CCDC171	+
chr10	118081939	118083939	CCDC172	+
chr2	170550931	170552931	CCDC173	-
chr3	14691252	14693252	CCDC174	+
chr14	60043549	60045549	CCDC175	-
chr14	70041600	70043600	CCDC177	-
chr2	173418696	173420696	PDK1	+
chrX	24481343	24483343	PDK3	+
chr17	48170638	48172638	PDK2	+
chrX	48378163	48380163	EBP	+
chr7	95225925	95227925	PDK4	-
chr5	96269345	96271345	LNPEP	+
chr2	233318821	233320821	ALPI	+
chr3	127769211	127771211	SEC61A1	+
chr10	12169639	12171639	SEC61A2	+
chr1	21833850	21835850	ALPL	+
chr2	216946539	216948539	PECR	-
chr17	29885014	29887014	MIR193A	+
chr16	14395823	14397823	MIR193B	+
chr8	122649585	122651585	HAS2-AS1	+
chr4	124693418	124695418	LINC01091	+
chr2	189152418	189154418	LINC01090	-
chr4	185820615	185822615	LINC01093	-
chr4	147043065	147045065	LINC01095	-
chr4	79565147	79567147	LINC01094	+
chr4	13533041	13535041	LINC01097	-
chr4	13549448	13551448	LINC01096	-
chr4	178829090	178831090	LINC01099	-
chr4	178647910	178649910	LINC01098	+
chr13	75814517	75816517	CTAGE11P	-
chr21	24757156	24759156	D21S2088E	-
chr12	57914300	57916300	DDIT3	-
chr10	74031676	74033676	DDIT4	+
chr13	99482337	99484337	DOCK9-AS1	+
chr1	151692012	151694012	RIIAD1	+
chr15	30425989	30427989	GOLGA8T	+
chr11	56185708	56187708	OR5R1	-
chr15	23597894	23599894	GOLGA8S	+
chr15	30706463	30708463	GOLGA8R	-
chr15	28957567	28959567	GOLGA8M	-
chr15	32747835	32749835	GOLGA8O	-
chr15	32883656	32885656	GOLGA8N	+
chr15	30894232	30896232	GOLGA8H	+
chr15	32695493	32697493	GOLGA8K	-
chr15	30373157	30375157	GOLGA8J	+
chr15	28762756	28764756	GOLGA8G	+
chr15	28763515	28765515	GOLGA8F	+
chr15	34682001	34684001	GOLGA8A	-
chr15	34828222	34830222	GOLGA8B	-
chrX	134864213	134866213	CT45A9	+
chrX	134864213	134866213	CT45A8	+
chr22	45146437	45148437	ARHGAP8	+
chr3	134512098	134514098	EPHB1	+
chrX	134845184	134847184	CT45A1	+
chrX	134881487	134883487	CT45A3	+
chrX	134864213	134866213	CT45A2	+
chrX	134864213	134866213	CT45A5	+
chrX	134881688	134883688	CT45A7	+
chrX	134881487	134883487	CT45A6	+
chr2	200715896	200717896	FTCDNL1	-
chr17	4689729	4691729	VMO1	-
chr20	61436939	61438939	OGFR-AS1	-
chr10	7828066	7830066	ATP5C1	+
chr19	14638354	14640354	MIR639	+
chr19	10827079	10829079	MIR638	+
chr17	66420689	66422689	MIR635	-
chr17	64781189	64783189	MIR634	+
chr19	3961510	3963510	MIR637	-
chr17	74732630	74734630	MIR636	-
chr15	75646026	75648026	MIR631	-
chr15	72877557	72879557	MIR630	+
chr17	61019575	61021575	MIR633	+
chr17	30675127	30677127	MIR632	+
chr21	22175426	22177426	LINC00320	-
chr14	74960084	74962084	NPC2	-
chr18	21166581	21168581	NPC1	-
chr10	8094458	8096458	GATA3-AS1	-
chr17	8127361	8129361	LINC00324	-
chr6	133407218	133409218	LINC00326	+
chr13	24041650	24043650	LINC00327	+
chr3	143690166	143692166	C3orf58	+
chr1	220445843	220447843	RAB3GAP2	-
chr7	97839565	97841565	BHLHA15	+
chr2	135807834	135809834	RAB3GAP1	+
chr3	111803181	111805181	C3orf52	+
chr3	126909973	126911973	C3orf56	+
chr3	49505564	49507564	DAG1	+
chr19	44031408	44033408	ETHE1	-
chr22	40764565	40766565	SGSM3	+
chr1	23343940	23345940	KDM1A	+
chr6	18153618	18155618	KDM1B	+
chr5	150727151	150729151	SLC36A2	-
chr11	57980216	57982216	OR1S1	+
chr11	57971653	57973653	OR1S2	-
chr2	207974797	207976797	MIR2355	-
chr11	66382052	66384052	RBM14-RBM4	+
chr1	161183086	161185086	FCER1G	+
chr11	111383079	111385079	BTG4	-
chr1	159257503	159259503	FCER1A	+
chr1	203272663	203274663	BTG2	+
chr7	16505474	16507474	SOSTDC1	-
chr15	63680428	63682428	LOC102723344	+
chr13	30219829	30221829	LOC102723345	+
chr4	56210387	56212387	SRD5A3	+
chr2	31806040	31808040	SRD5A2	-
chr5	6631434	6633434	SRD5A1	+
chr6	151771392	151773392	ARMT1	+
chrX	20156085	20158085	EIF1AX-AS1	+
chr1	49721082	49723082	LOC101929721	+
chr17	73257742	73259742	GGA3	-
chr16	23521815	23523815	GGA2	-
chr6	44182675	44184675	LOC101929726	+
chr16	67281425	67283425	FHOD1	-
chr18	33875658	33877658	FHOD3	+
chr1	228335414	228337414	GJC2	+
chr4	120225600	120227600	C4orf3	-
chr17	42908179	42910179	GJC1	-
chr6	4052044	4054044	PSMB9	+
chr6	4094090	4096090	PSMB8	-
chr9	127177752	127179752	PSMB7	-
chr17	4697438	4699438	PSMB6	+
chr14	23504354	23506354	PSMB5	-
chr1	151370040	151372040	PSMB4	+
chr17	36906965	36908965	PSMB3	+
chr1	36097138	36099138	PSMB2	-
chr6	170862417	170864417	PSMB1	-
chr12	49504683	49506683	LMBR1L	-
chr14	74181128	74183128	PNMA1	-
chr3	42848963	42850963	ACKR2	+
chr2	237476379	237478379	ACKR3	+
chrX	152222765	152224765	PNMA3	+
chr8	26371483	26373483	PNMA2	-
chrX	152160761	152162761	PNMA5	-
chr21	30365277	30367277	LTN1	-
chr4	189026741	189028741	TRIML2	-
chr6	134800035	134802035	LOC101928231	-
chr9	139884869	139886869	C9orf142	+
chr4	189058594	189060594	TRIML1	+
chr9	138987131	138989131	NACC2	-
chr1	12288095	12290095	VPS13D	+
chr19	13227101	13229101	NACC1	+
chr9	79790360	79792360	VPS13A	+
chrX	19905744	19907744	SH3KBP1	-
chr15	62352664	62354664	VPS13C	-
chr8	100023493	100025493	VPS13B	+
chrX	101410762	101412762	BEX5	-
chrX	102468019	102470019	BEX4	+
chrX	102629250	102631250	BEX3	+
chrX	102565883	102567883	BEX2	-
chrX	102319168	102321168	BEX1	-
chr6	33601522	33603522	LOC101929188	-
chr19	47551882	47553882	TMEM160	-
chr2	135476571	135478571	TMEM163	-
chr4	56260079	56262079	TMEM165	+
chrX	109243862	109245862	TMEM164	+
chr2	216944588	216946588	TMEM169	+
chr7	112430478	112432478	TMEM168	-
chr17	29641130	29643130	EVI2B	-
chr17	26848958	26850958	FOXN1	+
chr2	48539794	48541794	FOXN2	+
chr14	90085494	90087494	FOXN3	-
chr3	49466757	49468757	NICN1	-
chr8	121135346	121137346	COL14A1	+
chr6	4158625	4160625	TAP1	-
chr1	19282826	19284826	IFFO2	-
chr6	84419127	84421127	SNAP91	-
chr12	46775458	46777458	LOC100288798	+
chr20	15175503	15177503	MACROD2	+
chr11	63933585	63935585	MACROD1	-
chr9	139440293	139442293	NALT1	+
chr16	30709810	30711810	LOC730183	-
chr12	75905418	75907418	KRR1	-
chr5	43603332	43605332	NNT-AS1	-
chr2	37193615	37195615	STRN	-
chr18	8715368	8717368	MTCL1	+
chr3	150041534	150043534	LINC01214	-
chr19	42498428	42500428	ATP1A3	-
chr8	11616764	11618764	C8orf49	+
chr8	13422351	13424351	C8orf48	+
chr8	67403490	67405490	C8orf46	+
chr8	67577786	67579786	C8orf44	+
chr2	24308085	24310085	TP53I3	-
chr22	36013555	36015555	MB	-
chr10	50816346	50818346	SLC18A3	+
chr10	118998583	119000583	SLC18A2	+
chr8	20040717	20042717	SLC18A1	-
chr18	9473529	9475529	RALBP1	+
chr19	49120547	49122547	SPHK2	+
chr21	40984749	40986749	B3GALT5-AS1	-
chr20	57764074	57766074	ZNF831	+
chr17	33286548	33288548	ZNF830	+
chr19	57183123	57185123	ZNF835	-
chr3	183273500	183275500	KLHL6	-
chr19	52674896	52676896	ZNF836	-
chr14	102781713	102783713	ZNF839	+
chr1	111506566	111508566	LRIF1	-
chr1	39978537	39980537	OXCT2P1	+
chr5	125934606	125936606	PHAX	+
chr13	100343225	100345225	CLYBL-AS2	-
chr13	100381255	100383255	CLYBL-AS1	-
chr14	96341108	96343108	TUNAR	+
chr7	40172574	40174574	SUGCT	+
chrY	9193451	9195451	TSPY8	+
chr2	152224925	152226925	MIR4773-2	-
chr2	152222847	152224847	MIR4773-1	+
chr8	74005507	74007507	SBSPON	-
chr7	50132860	50134860	ZPBP	-
chrY	6112263	6114263	TSPY2	+
chrY	9302563	9304563	TSPY1	+
chr13	48649272	48651272	MED4-AS1	+
chrX	129303772	129305772	RAB33A	+
chr20	61581998	61583998	SLC17A9	+
chr4	140372960	140374960	RAB33B	+
chr6	25752926	25754926	SLC17A4	+
chr6	74363737	74365737	SLC17A5	-
chr11	22357666	22359666	SLC17A6	+
chr19	49944808	49946808	SLC17A7	-
chr6	25832287	25834287	SLC17A1	-
chr6	25926107	25928107	SLC17A2	-
chr6	25874471	25876471	SLC17A3	-
chr16	31519740	31521740	C16orf58	-
chr16	2508114	2510114	C16orf59	+
chr16	22017455	22019455	C16orf52	+
chrX	59349501	59351501	WASIR1	-
chr16	70915	72915	WASIR2	+
chr11	65548062	65550062	AP5B1	-
chr14	24683036	24685036	CHMP4A	-
chr20	32397109	32399109	CHMP4B	+
chr8	82642687	82644687	CHMP4C	+
chr2	165697928	165699928	COBLL1	-
chr13	114460215	114462215	TMEM255B	+
chrX	119445391	119447391	TMEM255A	-
chr11	8832224	8834224	ST5	-
chr7	116591380	116593380	ST7	+
chr19	57860641	57862641	ZNF304	+
chr17	44074615	44076615	STH	+
chr19	35166543	35168543	ZNF302	+
chr5	150284545	150286545	ZNF300	-
chr22	38382800	38384800	MIR4534	+
chrX	7063933	7065933	STS	+
chr17	46806111	46808111	HOXB13	-
chr19	45157002	45159002	MIR4531	-
chr7	86974808	86976808	TP53TG1	-
chr19	39466453	39468453	FBXO17	-
chr4	102268628	102270628	PPP3CA	-
chr10	75255782	75257782	PPP3CB	-
chr8	22296482	22298482	PPP3CC	+
chr22	30642840	30644840	LIF	-
chr17	42580970	42582970	GPATCH8	-
chr2	166788366	166790366	TTC21B-AS1	+
chr16	89625064	89627064	RPL13	+
chr18	8707619	8709619	GACAT2	-
chr13	21138954	21140954	IFT88	+
chr2	108368567	108370567	GACAT1	+
chrX	119253610	119255610	LINC01402	-
chr10	112834789	112836789	ADRA2A	+
chr2	96781984	96783984	ADRA2B	-
chr4	3766295	3768295	ADRA2C	+
chr13	31504833	31506833	TEX26	+
chr14	105862919	105864919	TEX22	+
chrX	129626914	129628914	FAM45BP	+
chrX	153523564	153525564	TEX28	-
chr13	111970990	111972990	TEX29	+
chr11	1853539	1855539	SYT8	+
chr12	11698963	11700963	LINC01252	+
chr9	33738414	33740414	LINC01251	-
chr2	3129798	3131798	LINC01250	-
chr12	131647555	131649555	LINC01257	+
chr11	47664206	47666206	MTCH2	-
chr6	36954327	36956327	MTCH1	-
chr18	10414367	10416367	LINC01254	-
chr12	79256448	79258448	SYT1	+
chr1	202679551	202681551	SYT2	-
chr4	38524801	38526801	LINC01258	-
chr18	40857615	40859615	SYT4	-
chr19	55691720	55693720	SYT5	-
chr1	114696472	114698472	SYT6	-
chr11	61348344	61350344	SYT7	-
chr10	121356541	121358541	TIAL1	-
chr1	13199727	13201727	PRAMEF36P	-
chr9	133452959	133454959	FUBP3	+
chr1	78444889	78446889	FUBP1	-
chr3	158989035	158991035	SCHIP1	+
chr4	1241227	1243227	CTBP1-AS2	+
chr2	119697744	119699744	MARCO	+
chr4	174290092	174292092	SAP30	+
chr1	19967722	19969722	NBL1	+
chr3	58808196	58810196	C3orf67-AS1	+
chrX	148858528	148860528	HSFX2	-
chrX	148631397	148633397	HSFX3	-
chrX	148676974	148678974	HSFX1	-
chr16	57726712	57728712	DRC7	+
chr17	17874126	17876126	DRC3	+
chr2	26622779	26624779	DRC1	+
chr1	197869681	197871681	C1orf53	+
chr1	85725355	85727355	C1orf52	-
chr1	43230915	43232915	C1orf50	+
chr1	151018215	151020215	C1orf56	+
chr1	150243201	150245201	C1orf54	+
chr1	220958038	220960038	MARC1	+
chr1	220919587	220921587	MARC2	+
chr20	57088434	57090434	APCDD1L-AS1	+
chr1	198906558	198908558	MIR181A1HG	-
chr2	130939330	130941330	SMPD4	-
chr11	6409643	6411643	SMPD1	+
chr16	68482409	68484409	SMPD3	-
chr6	109759930	109761930	SMPD2	+
chr17	59940920	59942920	BRIP1	-
chr2	178753466	178755466	PDE11A	-
chr22	29075853	29077853	TTC28	-
chr4	147867038	147869038	TTC29	-
chr1	156549156	156551156	TTC24	+
chr17	40084875	40086875	TTC25	+
chr7	138816489	138818489	TTC26	+
chr2	32851086	32853086	TTC27	+
chr15	44969086	44971086	PATL2	-
chr1	55266941	55268941	TTC22	-
chr11	59436511	59438511	PATL1	-
chr1	8931635	8933635	ENO1	-
chr4	156127780	156129780	NPY2R	+
chr17	4852383	4854383	ENO3	+
chr10	118607022	118609022	ENO4	+
chr15	101872641	101874641	PCSK6-AS1	+
chr9	132042694	132044694	LOC101929331	+
chr15	41574200	41576200	OIP5-AS1	+
chr5	1634120	1636120	LOC728613	-
chr18	2655394	2657394	CBX3P2	-
chr19	857658	859658	CFD	+
chr1	228393830	228395830	OBSCN	+
chr22	26877849	26879849	SRRD	+
chr1	150552214	150554214	MCL1	-
chr10	97200937	97202937	SORBS1	-
chr8	22407250	22409250	SORBS3	+
chr4	186578123	186580123	SORBS2	-
chr2	10588680	10590680	ODC1	-
chr2	103033249	103035249	IL18RAP	+
chr12	10105936	10107936	CLEC12A-AS1	-
chr3	27764206	27766206	EOMES	-
chr12	50220325	50222325	BCDIN3D-AS1	+
chr9	28888953	28890953	MIR873	-
chr11	77848838	77850838	KCTD21-AS1	+
chr6	1843016	1845016	MIR877	+
chr9	28863704	28865704	MIR876	-
chr8	100549089	100551089	MIR875	-
chr5	136983338	136985338	MIR874	-
chr19	49540191	49542191	CGB1	-
chr19	49533168	49535168	CGB2	+
chr7	30066417	30068417	FKBP14	-
chr9	115983641	115985641	FKBP15	-
chr6	90062619	90064619	UBE2J1	-
chr1	1209234	1211234	UBE2J2	-
chr12	49319330	49321330	FKBP11	-
chr9	37576250	37578250	FBXO10	-
chr2	48132932	48134932	FBXO11	-
chr8	28347835	28349835	FBXO16	-
chr17	61676230	61678230	TACO1	+
chr18	71814999	71816999	FBXO15	-
chr2	86360992	86362992	SNORD94	+
chr2	236412394	236414394	AGAP1-IT1	+
chr14	36982990	36984990	SFTA3	-
chr6	2411875	2413875	SFTA2	-
chr9	96936628	96938628	MIRLET7F1	+
chr6	31801039	31803039	SNORD48	+
chr16	58005020	58007020	CNGB1	-
chr9	125642598	125644598	SNORD90	-
chr8	87755903	87757903	CNGB3	-
chr1	173833583	173835583	SNORD47	-
chr1	45240163	45242163	SNORD46	+
chr1	173835166	173837166	SNORD44	-
chr22	38577916	38579916	PLA2G6	-
chr6	46703151	46705151	PLA2G7	-
chr1	20394700	20396700	PLA2G5	+
chr22	31536593	31538593	PLA2G3	-
chr15	90775486	90777486	GDPGP1	+
chr12	496515	498515	CCDC77	+
chr17	39191107	39193107	KRTAP1-3	-
chr17	39186377	39188377	KRTAP1-4	-
chr11	32816204	32818204	CCDC73	-
chr13	52434083	52436083	CCDC70	+
chr3	49203785	49205785	CCDC71	-
chr11	106118745	106120745	LOC101928535	+
chr16	776473	778473	CCDC78	-
chr1	228643807	228645807	HIST3H2BB	+
chr17	27048698	27050698	SNORD4B	+
chr17	27047599	27049599	SNORD4A	+
chr10	85897184	85899184	GHITM	+
chr7	157645276	157647276	LOC100506585	+
chr17	61988688	61990688	CSHL1	-
chr8	90912761	90914761	OSGIN2	+
chr5	70742583	70744583	LINC02197	-
chr2	24270570	24272570	FKBP1B	+
chr16	31564888	31566888	LINC02190	-
chr16	47921041	47923041	LINC02192	-
chr5	8837843	8839843	LINC02199	+
chr5	68325754	68327754	LINC02198	-
chr16	83984826	83986826	OSGIN1	+
chr5	43065124	43067124	LOC100506639	+
chr5	65807432	65809432	LINC02229	-
chr5	17805382	17807382	LINC02223	+
chr5	157836781	157838781	LINC02227	-
chr5	8457677	8459677	LINC02226	-
chr5	57194989	57196989	LINC02225	-
chr5	44510384	44512384	LINC02224	-
chr1	232938637	232940637	MAP10	+
chr7	1781946	1783946	ELFN1-AS1	-
